Board Name                                         FQBN
ESP32S3 Dev Module Octal (WROOM2)                  esp32:esp32:esp32s3-octal
ESP32vn IoT Uno                                    esp32:esp32:esp32vn-iot-uno
ESPea32                                            esp32:esp32:espea32
ESPectro32                                         esp32:esp32:espectro32
ET-Board                                           esp32:esp32:ET-Board
Edgebox-ESP-100                                    esp32:esp32:Edgebox-ESP-100
Elecrow CrowPanel 7.0P                             esp32:esp32:elecrow_crowpanel_7
Electronic SweetPeas - ESP320                      esp32:esp32:esp320
FireBeetle 2 ESP32-E                               esp32:esp32:dfrobot_firebeetle2_esp32e
FireBeetle-ESP32                                   esp32:esp32:firebeetle32
Franzininho WiFi                                   esp32:esp32:franzininho_wifi_esp32s2
Franzininho WiFi MSC                               esp32:esp32:franzininho_wifi_msc_esp32s2
Fri3d Badge 2024 (ESP32-S3-WROOM-1)                esp32:esp32:fri3d_2024_esp32s3
Frog Board ESP32                                   esp32:esp32:frogboard
Geekble Mini ESP32-C3                              esp32:esp32:Geekble_ESP32C3
HONEYLemon                                         esp32:esp32:honeylemon
Heltec Capsule Sensor (V3)                         esp32:esp32:heltec_capsule_sensor_V3
Heltec E-Ink Driver                                esp32:esp32:heltec_ht_de01
Heltec Vision Master E213                          esp32:esp32:heltec_vision_master_e_213
Heltec Vision Master E290                          esp32:esp32:heltec_vision_master_e290
Heltec Vision Master T190                          esp32:esp32:heltec_vision_master_t190
Heltec WiFi Kit 32                                 esp32:esp32:heltec_wifi_kit_32
Heltec WiFi Kit 32(V3)                             esp32:esp32:heltec_wifi_kit_32_V3
Heltec WiFi LoRa 32                                esp32:esp32:heltec_wifi_lora_32
Heltec WiFi LoRa 32(V2)                            esp32:esp32:heltec_wifi_lora_32_V2
Heltec WiFi LoRa 32(V3)                            esp32:esp32:heltec_wifi_lora_32_V3
Heltec Wireless Bridge                             esp32:esp32:heltec_wireless_bridge
Heltec Wireless Mini Shell                         esp32:esp32:heltec_wireless_mini_shell
Heltec Wireless Paper                              esp32:esp32:heltec_wireless_paper
Heltec Wireless Shell (V3)                         esp32:esp32:heltec_wireless_shell_V3
Heltec Wireless Stick                              esp32:esp32:heltec_wireless_stick
Heltec Wireless Stick Lite / Wireless Shell        esp32:esp32:heltec_wireless_stick_lite
Heltec Wireless Stick Lite(V3)                     esp32:esp32:heltec_wireless_stick_lite_V3
Heltec Wireless Stick(V3)                          esp32:esp32:heltec_wireless_stick_V3
Heltec Wireless Tracker                            esp32:esp32:heltec_wireless_tracker
Hornbill ESP32 Dev                                 esp32:esp32:hornbill32dev
Hornbill ESP32 Minima                              esp32:esp32:hornbill32minima
Huidu HD-WF2                                       esp32:esp32:huidu_hd_wf2
Huidu HD-WF4                                       esp32:esp32:huidu_hd_wf4
IMBRIOS LOGSENS_V1P1                               esp32:esp32:imbrios-logsens-v1p1
INEX OpenKB                                        esp32:esp32:OpenKB
IOXESP32                                           esp32:esp32:ioxesp32
IOXESP32-C6                                        esp32:esp32:ioxesp32c6
IOXESP32PS                                         esp32:esp32:ioxesp32ps
IntoRobot Fig                                      esp32:esp32:intorobot-fig
KB32-FT                                            esp32:esp32:kb32
KITS ESP32 EDU                                     esp32:esp32:kits-edu
LOLIN C3 Mini                                      esp32:esp32:lolin_c3_mini
LOLIN C3 Pico                                      esp32:esp32:lolin_c3_pico
LOLIN D32                                          esp32:esp32:d32
LOLIN D32 PRO                                      esp32:esp32:d32_pro
LOLIN S2 Mini                                      esp32:esp32:lolin_s2_mini
LOLIN S2 PICO                                      esp32:esp32:lolin_s2_pico
LOLIN S3                                           esp32:esp32:lolin_s3
LOLIN S3 Mini                                      esp32:esp32:lolin_s3_mini
LOLIN S3 Mini Pro                                  esp32:esp32:lolin_s3_mini_pro
LOLIN S3 Pro                                       esp32:esp32:lolin_s3_pro
Labplus mPython                                    esp32:esp32:mPython
LilyGo T-Display                                   esp32:esp32:lilygo_t_display
LilyGo T-Display-S3                                esp32:esp32:lilygo_t_display_s3
LilyGo T-ETH-Lite                                  esp32:esp32:lilygo_t_eth_lite
LilyGo T-Watch-S3                                  esp32:esp32:twatchs3
LilyGo T-Watch-Ultra                               esp32:esp32:twatch_ultra
LilyGo T3-S3                                       esp32:esp32:lilygo_t3s3
Lion:Bit Dev Board                                 esp32:esp32:lionbit
Lion:Bit S3 STEM Dev Board                         esp32:esp32:lionbits3
LoPy                                               esp32:esp32:lopy
LoPy4                                              esp32:esp32:lopy4
M5Atom                                             esp32:esp32:m5stack_atom
M5AtomS3                                           esp32:esp32:m5stack_atoms3
M5Capsule                                          esp32:esp32:m5stack_capsule
M5Cardputer                                        esp32:esp32:m5stack_cardputer
M5Core                                             esp32:esp32:m5stack_core
M5Core2                                            esp32:esp32:m5stack_core2
M5CoreInk                                          esp32:esp32:m5stack_coreink
M5CoreS3                                           esp32:esp32:m5stack_cores3
M5Dial                                             esp32:esp32:m5stack_dial
M5DinMeter                                         esp32:esp32:m5stack_dinmeter
M5Fire                                             esp32:esp32:m5stack_fire
M5NanoC6                                           esp32:esp32:m5stack_nanoc6
M5Paper                                            esp32:esp32:m5stack_paper
M5PoECAM                                           esp32:esp32:m5stack_poe_cam
M5StampC3                                          esp32:esp32:m5stack_stamp_c3
M5StampPico                                        esp32:esp32:m5stack_stamp_pico
M5StampS3                                          esp32:esp32:m5stack_stamp_s3
M5Station                                          esp32:esp32:m5stack_station
M5StickC                                           esp32:esp32:m5stack_stickc
M5StickCPlus                                       esp32:esp32:m5stack_stickc_plus
M5StickCPlus2                                      esp32:esp32:m5stack_stickc_plus2
M5TimerCAM                                         esp32:esp32:m5stack_timer_cam
M5Tough                                            esp32:esp32:m5stack_tough
M5UnitCAM                                          esp32:esp32:m5stack_unit_cam
M5UnitCAMS3                                        esp32:esp32:m5stack_unit_cams3
MGBOT IOTIK 32A                                    esp32:esp32:mgbot-iotik32a
MGBOT IOTIK 32B                                    esp32:esp32:mgbot-iotik32b
MH ET LIVE ESP32DevKIT                             esp32:esp32:mhetesp32devkit
MH ET LIVE ESP32MiniKit                            esp32:esp32:mhetesp32minikit
MagicBit                                           esp32:esp32:magicbit
MakerGO ESP32 C3 SuperMini                         esp32:esp32:makergo_c3_supermini
Metro ESP-32                                       esp32:esp32:metro_esp-32
Microduino-CoreESP32                               esp32:esp32:CoreESP32
Namino Arancio                                     esp32:esp32:namino_arancio
Namino Bianco                                      esp32:esp32:namino_bianco
Namino Rosso                                       esp32:esp32:namino_rosso
Nano32                                             esp32:esp32:nano32
Nebula S3                                          esp32:esp32:nebulas3
Node32s                                            esp32:esp32:node32s
NodeMCU-32S                                        esp32:esp32:nodemcu-32s
Noduino Quantum                                    esp32:esp32:quantum
Nologo ESP32C3 Super Mini                          esp32:esp32:nologo_esp32c3_super_mini
Nologo ESP32S3 Pico                                esp32:esp32:nologo_esp32s3_pico
ODROID ESP32                                       esp32:esp32:odroid_esp32
OLIMEX ESP32-C3-DevKit-Lipo                        esp32:esp32:esp32c3-devkitlipo
OLIMEX ESP32-C6-EVB                                esp32:esp32:esp32c6-evb
OLIMEX ESP32-DevKit-LiPo                           esp32:esp32:esp32-devkitlipo
OLIMEX ESP32-EVB                                   esp32:esp32:esp32-evb
OLIMEX ESP32-GATEWAY                               esp32:esp32:esp32-gateway
OLIMEX ESP32-H2-DevKit-LiPo                        esp32:esp32:esp32h2-devkitlipo
OLIMEX ESP32-POE                                   esp32:esp32:esp32-poe
OLIMEX ESP32-POE-ISO                               esp32:esp32:esp32-poe-iso
OLIMEX ESP32-S2-DevKit-Lipo                        esp32:esp32:esp32s2-devkitlipo
OLIMEX ESP32-S2-DevKit-Lipo-USB                    esp32:esp32:esp32s2-devkitlipo-usb
OLIMEX ESP32-S3-DevKit-Lipo                        esp32:esp32:esp32s3-devkitlipo
OLIMEX ESP32-SBC-FABGL                             esp32:esp32:esp32-sbc-fabgl
OROCA EduBot                                       esp32:esp32:oroca_edubot
Onehorse ESP32 Dev Module                          esp32:esp32:onehorse32dev
Pcbcupid GLYPH C3                                  esp32:esp32:Pcbcupid_GLYPH_C3
Pcbcupid GLYPH C6                                  esp32:esp32:Pcbcupid_GLYPH_C6
Pcbcupid GLYPH H2                                  esp32:esp32:Pcbcupid_GLYPH_H2
Piranha ESP-32                                     esp32:esp32:piranha_esp-32
ProtoCentral HealthyPi 4                           esp32:esp32:healthypi4
Pycom GPy                                          esp32:esp32:gpy
RedPill(+) ESP32-S3                                esp32:esp32:redpill_esp32s3
RoboHeart Hercules                                 esp32:esp32:roboheart_hercules
S.ODI Ultra v1                                     esp32:esp32:S_ODI_Ultra
Senses's WEIZEN                                    esp32:esp32:sensesiot_weizen
Silicognition wESP32                               esp32:esp32:wesp32
Sonoff DUALR3                                      esp32:esp32:sonoff_dualr3
SparkFun ESP32 IoT RedBoard                        esp32:esp32:sparkfun_esp32_iot_redboard
SparkFun ESP32 MicroMod                            esp32:esp32:esp32micromod
SparkFun ESP32 Thing                               esp32:esp32:esp32thing
SparkFun ESP32 Thing Plus                          esp32:esp32:esp32thing_plus
SparkFun ESP32 Thing Plus C                        esp32:esp32:esp32thing_plus_c
SparkFun ESP32-C6 Qwiic Pocket                     esp32:esp32:sparkfun_esp32c6_qwiic_pocket
SparkFun ESP32-C6 Thing Plus                       esp32:esp32:sparkfun_esp32c6_thing_plus
SparkFun ESP32-S2 Thing Plus                       esp32:esp32:sparkfun_esp32s2_thing_plus
SparkFun ESP32-S3 Thing Plus                       esp32:esp32:sparkfun_esp32s3_thing_plus
SparkFun LoRa Gateway 1-Channel                    esp32:esp32:sparkfun_lora_gateway_1-channel
SparkFun Pro Micro - ESP32C3                       esp32:esp32:sparkfun_pro_micro_esp32c3
T-Beam                                             esp32:esp32:t-beam
TAMC Termod S3                                     esp32:esp32:tamc_termod_s3
TTGO LoRa32-OLED                                   esp32:esp32:ttgo-lora32
TTGO T-OI PLUS RISC-V ESP32-C3                     esp32:esp32:ttgo-t-oi-plus
TTGO T-Watch                                       esp32:esp32:twatch
TTGO T1                                            esp32:esp32:ttgo-t1
TTGO T7 V1.3 Mini32                                esp32:esp32:ttgo-t7-v13-mini32
TTGO T7 V1.4 Mini32                                esp32:esp32:ttgo-t7-v14-mini32
ThaiEasyElec's ESPino32                            esp32:esp32:espino32
ThingPulse ePulse Feather                          esp32:esp32:epulse_feather
ThingPulse ePulse Feather C6                       esp32:esp32:epulse_feather_c6
Trueverit ESP32 Universal IoT Driver               esp32:esp32:esp32-trueverit-iot-driver
Trueverit ESP32 Universal IoT Driver MK II         esp32:esp32:esp32-trueverit-iot-driver-mkii
Turta IoT Node                                     esp32:esp32:turta_iot_node
UM BLING                                           esp32:esp32:um_bling
UM FeatherS2                                       esp32:esp32:um_feathers2
UM FeatherS2 Neo                                   esp32:esp32:um_feathers2neo
UM FeatherS3                                       esp32:esp32:um_feathers3
UM FeatherS3 Neo                                   esp32:esp32:um_feathers3neo
UM NanoS3                                          esp32:esp32:um_nanos3
UM OMGS3                                           esp32:esp32:um_omgs3
UM PROS3                                           esp32:esp32:um_pros3
UM TinyC6                                          esp32:esp32:um_tinyc6
UM TinyPICO                                        esp32:esp32:um_tinypico
UM TinyS2                                          esp32:esp32:um_tinys2
UM TinyS3                                          esp32:esp32:um_tinys3
VALTRACK_V4_MFW_ESP32_C3                           esp32:esp32:VALTRACK_V4_MFW_ESP32_C3
VALTRACK_V4_VTS_ESP32_C3                           esp32:esp32:VALTRACK_V4_VTS_ESP32_C3
VintLabs ESP32 Devkit                              esp32:esp32:vintlabs-devkit-v1
ViraLink Gate32-0.1                                esp32:esp32:viralink32g01
ViraLink Gate32-1.1                                esp32:esp32:viralink32g11
WEMOS D1 MINI ESP32                                esp32:esp32:d1_mini32
WEMOS D1 R32                                       esp32:esp32:d1_uno32
WEMOS LOLIN32                                      esp32:esp32:lolin32
WEMOS LOLIN32 Lite                                 esp32:esp32:lolin32-lite
WT32-ETH01 Ethernet Module                         esp32:esp32:wt32-eth01
WT32-SC01 PLUS                                     esp32:esp32:wt32-sc01-plus
Watchy                                             esp32:esp32:watchy
Waveshare ESP32-S3-LCD-1.46                        esp32:esp32:waveshare_esp32_s3_lcd_146
Waveshare ESP32-S3-LCD-1.47                        esp32:esp32:waveshare_esp32_s3_lcd_147
Waveshare ESP32-S3-LCD-1.69                        esp32:esp32:waveshare_esp32_s3_lcd_169
Waveshare ESP32-S3-LCD-1.85                        esp32:esp32:waveshare_esp32_s3_lcd_185
Waveshare ESP32-S3-Matrix                          esp32:esp32:ws_esp32_s3_matrix
Waveshare ESP32-S3-Relay-6CH                       esp32:esp32:waveshare_esp32_s3_relay_6ch
Waveshare ESP32-S3-Touch-AMOLED-1.43               esp32:esp32:waveshare_esp32_s3_touch_amoled_143
Waveshare ESP32-S3-Touch-AMOLED-1.64               esp32:esp32:waveshare_esp32_s3_touch_amoled_164
Waveshare ESP32-S3-Touch-AMOLED-1.8                esp32:esp32:waveshare_esp32_s3_touch_amoled_18
Waveshare ESP32-S3-Touch-AMOLED-1.91               esp32:esp32:waveshare_esp32_s3_touch_amoled_191
Waveshare ESP32-S3-Touch-AMOLED-2.41               esp32:esp32:waveshare_esp32_s3_touch_amoled_241
Waveshare ESP32-S3-Touch-LCD-1.46                  esp32:esp32:waveshare_esp32_s3_touch_lcd_146
Waveshare ESP32-S3-Touch-LCD-1.69                  esp32:esp32:waveshare_esp32_s3_touch_lcd_169
Waveshare ESP32-S3-Touch-LCD-1.85                  esp32:esp32:waveshare_esp32_s3_touch_lcd_185
Waveshare ESP32-S3-Touch-LCD-1.85-BOX              esp32:esp32:waveshare_esp32_s3_touch_lcd_185_box
Waveshare ESP32-S3-Touch-LCD-2.1                   esp32:esp32:waveshare_esp32_s3_touch_lcd_21
Waveshare ESP32-S3-Touch-LCD-2.8                   esp32:esp32:waveshare_esp32_s3_touch_lcd_28
Waveshare ESP32-S3-Touch-LCD-4                     esp32:esp32:waveshare_esp32_s3_touch_lcd_4
Waveshare ESP32-S3-Touch-LCD-4.3                   esp32:esp32:waveshare_esp32_s3_touch_lcd_43
Waveshare ESP32-S3-Touch-LCD-4.3B                  esp32:esp32:waveshare_esp32_s3_touch_lcd_43B
Waveshare ESP32-S3-Touch-LCD-5                     esp32:esp32:waveshare_esp32_s3_touch_lcd_5
Waveshare ESP32-S3-Touch-LCD-5B                    esp32:esp32:waveshare_esp32_s3_touch_lcd_5B
Waveshare ESP32-S3-Touch-LCD-7                     esp32:esp32:waveshare_esp32_s3_touch_lcd_7
Waveshare ESP32-S3-Zero                            esp32:esp32:waveshare_esp32_s3_zero
Waveshare ESP32S3 Touch LCD 128                    esp32:esp32:waveshare_esp32s3_touch_lcd_128
WeAct Studio ESP32C3                               esp32:esp32:weact_studio_esp32c3
WeMos WiFi&Bluetooth Battery                       esp32:esp32:WeMosBat
WiFiduino32                                        esp32:esp32:wifiduino32
WiFiduino32S3                                      esp32:esp32:wifiduino32s3
WiFiduinoV2                                        esp32:esp32:wifiduino32c3
WiPy 3.0                                           esp32:esp32:wipy3
Widora AIR                                         esp32:esp32:widora-air
XIAO_ESP32C3                                       esp32:esp32:XIAO_ESP32C3
XIAO_ESP32C6                                       esp32:esp32:XIAO_ESP32C6
XIAO_ESP32S3                                       esp32:esp32:XIAO_ESP32S3
XinaBox CW02                                       esp32:esp32:cw02
YelloByte YB-ESP32-S3-AMP (Rev.2)                  esp32:esp32:yb_esp32s3_amp_v2
YelloByte YB-ESP32-S3-AMP (Rev.3)                  esp32:esp32:yb_esp32s3_amp_v3
YelloByte YB-ESP32-S3-ETH                          esp32:esp32:yb_esp32s3_eth
cezerio dev ESP32C6                                esp32:esp32:cezerio_dev_esp32c6
cezerio mini dev ESP32C6                           esp32:esp32:cezerio_mini_dev_esp32c6
microS2                                            esp32:esp32:micros2
senseBox MCU-S2 ESP32-S2                           esp32:esp32:sensebox_mcu_esp32s2
u-blox NINA-W10 series (ESP32)                     esp32:esp32:nina_w10
